LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
AUT;UNEMP;25_74;PC_LF;Q;2008-Q3;3.666.667;
AUT;UNEMP;25_74;PC_LF;Q;2008-Q4;3.733.333;
AUT;UNEMP;25_74;PC_LF;Q;2009-Q1;4.166.667;
AUT;UNEMP;25_74;PC_LF;Q;2009-Q2;4.766.667;
AUT;UNEMP;25_74;PC_LF;Q;2009-Q3;5.2;
AUT;UNEMP;25_74;PC_LF;Q;2009-Q4;4.966.667;
AUT;UNEMP;25_74;PC_LF;Q;2010-Q1;4.433.333;
AUT;UNEMP;25_74;PC_LF;Q;2010-Q2;4.6;
AUT;UNEMP;25_74;PC_LF;Q;2010-Q3;4.366.667;
AUT;UNEMP;25_74;PC_LF;Q;2010-Q4;4.233.333;
AUT;UNEMP;25_74;PC_LF;Q;2011-Q1;4.366.667;
AUT;UNEMP;25_74;PC_LF;Q;2011-Q2;4.066.667;
AUT;UNEMP;25_74;PC_LF;Q;2011-Q3;3.766.667;
AUT;UNEMP;25_74;PC_LF;Q;2011-Q4;4.4;
AUT;UNEMP;25_74;PC_LF;Q;2012-Q1;4;
AUT;UNEMP;25_74;PC_LF;Q;2012-Q2;4.466.667;
AUT;UNEMP;25_74;PC_LF;Q;2012-Q3;4.733.333;
AUT;UNEMP;25_74;PC_LF;Q;2012-Q4;4.7;
AUT;UNEMP;25_74;PC_LF;Q;2013-Q1;5.1;
AUT;UNEMP;25_74;PC_LF;Q;2013-Q2;4.733.333;
AUT;UNEMP;25_74;PC_LF;Q;2013-Q3;5.166.667;
AUT;UNEMP;25_74;PC_LF;Q;2013-Q4;5.066.667;
AUT;UNEMP;25_74;PC_LF;Q;2014-Q1;5.166.667;
AUT;UNEMP;25_74;PC_LF;Q;2014-Q2;5.333.333;
AUT;UNEMP;25_74;PC_LF;Q;2014-Q3;5.366.667;
AUT;UNEMP;25_74;PC_LF;Q;2014-Q4;5.333.333;
AUT;UNEMP;25_74;PC_LF;Q;2015-Q1;5.333.333;
AUT;UNEMP;25_74;PC_LF;Q;2015-Q2;5.633.333;
AUT;UNEMP;25_74;PC_LF;Q;2015-Q3;5.366.667;
AUT;UNEMP;25_74;PC_LF;Q;2015-Q4;5.4;
AUT;UNEMP;25_74;PC_LF;Q;2016-Q1;5.5;
AUT;UNEMP;25_74;PC_LF;Q;2016-Q2;5.9;
AUT;UNEMP;25_74;PC_LF;Q;2016-Q3;5.8;
AUT;UNEMP;25_74;PC_LF;Q;2016-Q4;5.5;
AUT;UNEMP;25_74;PC_LF;Q;2017-Q1;5.4;
AUT;UNEMP;25_74;PC_LF;Q;2017-Q2;5.3;
AUT;UNEMP;25_74;PC_LF;Q;2017-Q3;5.333.333;
AUT;UNEMP;25_74;PC_LF;Q;2017-Q4;5.166.667;
AUT;UNEMP;25_74;PC_LF;Q;2018-Q1;4.666.667;
AUT;UNEMP;25_74;PC_LF;Q;2018-Q2;4.333.333;
AUT;UNEMP;25_74;PC_LF;Q;2018-Q3;4.766.667;
AUT;UNEMP;25_74;PC_LF;Q;2018-Q4;4.533.333;
AUT;UNEMP;25_74;PC_LF;Q;2019-Q1;4.6;
AUT;UNEMP;25_74;PC_LF;Q;2019-Q2;4.266.667;
AUT;UNEMP;25_74;PC_LF;Q;2019-Q3;4.2;
AUT;UNEMP;25_74;PC_LF;Q;2019-Q4;4.033.333;
AUT;UNEMP;25_74;PC_LF;Q;2020-Q1;3.9;
BEL;UNEMP;25_74;PC_LF;Q;2005-Q1;7.033.333;
BEL;UNEMP;25_74;PC_LF;Q;2005-Q2;7.066.667;
BEL;UNEMP;25_74;PC_LF;Q;2005-Q3;7.2;
BEL;UNEMP;25_74;PC_LF;Q;2005-Q4;6.966.667;
BEL;UNEMP;25_74;PC_LF;Q;2006-Q1;7.233.333;
BEL;UNEMP;25_74;PC_LF;Q;2006-Q2;7.433.333;
BEL;UNEMP;25_74;PC_LF;Q;2006-Q3;6.633.333;
BEL;UNEMP;25_74;PC_LF;Q;2006-Q4;6.666.667;
BEL;UNEMP;25_74;PC_LF;Q;2007-Q1;6.7;
BEL;UNEMP;25_74;PC_LF;Q;2007-Q2;6.633.333;
BEL;UNEMP;25_74;PC_LF;Q;2007-Q3;5.933.333;
BEL;UNEMP;25_74;PC_LF;Q;2007-Q4;6.033.333;
BEL;UNEMP;25_74;PC_LF;Q;2008-Q1;5.9;
BEL;UNEMP;25_74;PC_LF;Q;2008-Q2;5.733.333;
BEL;UNEMP;25_74;PC_LF;Q;2008-Q3;6.2;
BEL;UNEMP;25_74;PC_LF;Q;2008-Q4;5.7;B
BEL;UNEMP;25_74;PC_LF;Q;2009-Q1;6.633.333;
BEL;UNEMP;25_74;PC_LF;Q;2009-Q2;6.566.667;
BEL;UNEMP;25_74;PC_LF;Q;2009-Q3;6.6;
BEL;UNEMP;25_74;PC_LF;Q;2009-Q4;6.7;
BEL;UNEMP;25_74;PC_LF;Q;2010-Q1;7.1;
BEL;UNEMP;25_74;PC_LF;Q;2010-Q2;7.133.333;
BEL;UNEMP;25_74;PC_LF;Q;2010-Q3;7.2;
BEL;UNEMP;25_74;PC_LF;Q;2010-Q4;6.7;
BEL;UNEMP;25_74;PC_LF;Q;2011-Q1;5.966.667;
BEL;UNEMP;25_74;PC_LF;Q;2011-Q2;5.966.667;
BEL;UNEMP;25_74;PC_LF;Q;2011-Q3;6.2;
BEL;UNEMP;25_74;PC_LF;Q;2011-Q4;6.266.667;
BEL;UNEMP;25_74;PC_LF;Q;2012-Q1;6.133.333;
BEL;UNEMP;25_74;PC_LF;Q;2012-Q2;6.433.333;
BEL;UNEMP;25_74;PC_LF;Q;2012-Q3;6.366.667;
BEL;UNEMP;25_74;PC_LF;Q;2012-Q4;7.033.333;
BEL;UNEMP;25_74;PC_LF;Q;2013-Q1;7.266.667;
BEL;UNEMP;25_74;PC_LF;Q;2013-Q2;7.066.667;
BEL;UNEMP;25_74;PC_LF;Q;2013-Q3;7.133.333;
BEL;UNEMP;25_74;PC_LF;Q;2013-Q4;7.2;
BEL;UNEMP;25_74;PC_LF;Q;2014-Q1;7.233.333;
BEL;UNEMP;25_74;PC_LF;Q;2014-Q2;7.133.333;
BEL;UNEMP;25_74;PC_LF;Q;2014-Q3;7.533.333;
BEL;UNEMP;25_74;PC_LF;Q;2014-Q4;7.5;
BEL;UNEMP;25_74;PC_LF;Q;2015-Q1;7.8;
BEL;UNEMP;25_74;PC_LF;Q;2015-Q2;7.566.667;
BEL;UNEMP;25_74;PC_LF;Q;2015-Q3;7.066.667;
BEL;UNEMP;25_74;PC_LF;Q;2015-Q4;7.4;
BEL;UNEMP;25_74;PC_LF;Q;2016-Q1;7.433.333;
BEL;UNEMP;25_74;PC_LF;Q;2016-Q2;7.233.333;
BEL;UNEMP;25_74;PC_LF;Q;2016-Q3;6.7;
BEL;UNEMP;25_74;PC_LF;Q;2016-Q4;6.366.667;
BEL;UNEMP;25_74;PC_LF;Q;2017-Q1;6.733.333;
BEL;UNEMP;25_74;PC_LF;Q;2017-Q2;6.3;
BEL;UNEMP;25_74;PC_LF;Q;2017-Q3;6.166.667;
BEL;UNEMP;25_74;PC_LF;Q;2017-Q4;5.6;
BEL;UNEMP;25_74;PC_LF;Q;2018-Q1;5.3;
BEL;UNEMP;25_74;PC_LF;Q;2018-Q2;5.433.333;
BEL;UNEMP;25_74;PC_LF;Q;2018-Q3;4.9;
BEL;UNEMP;25_74;PC_LF;Q;2018-Q4;5.333.333;
BEL;UNEMP;25_74;PC_LF;Q;2019-Q1;4.8;
BEL;UNEMP;25_74;PC_LF;Q;2019-Q2;4.866.667;
BEL;UNEMP;25_74;PC_LF;Q;2019-Q3;4.566.667;
BEL;UNEMP;25_74;PC_LF;Q;2019-Q4;4.5;
BEL;UNEMP;25_74;PC_LF;Q;2020-Q1;4.5;
CAN;UNEMP;25_74;PC_LF;Q;2005-Q1;5.818.732;
CAN;UNEMP;25_74;PC_LF;Q;2005-Q2;5.678.988;
CAN;UNEMP;25_74;PC_LF;Q;2005-Q3;5.574.093;
CAN;UNEMP;25_74;PC_LF;Q;2005-Q4;551.233;
CAN;UNEMP;25_74;PC_LF;Q;2006-Q1;5.427.691;
CAN;UNEMP;25_74;PC_LF;Q;2006-Q2;5.247.541;
CAN;UNEMP;25_74;PC_LF;Q;2006-Q3;531.368;
CAN;UNEMP;25_74;PC_LF;Q;2006-Q4;5.262.099;
CAN;UNEMP;25_74;PC_LF;Q;2007-Q1;5.281.259;
CAN;UNEMP;25_74;PC_LF;Q;2007-Q2;5.167.006;
CAN;UNEMP;25_74;PC_LF;Q;2007-Q3;4.985.112;
CAN;UNEMP;25_74;PC_LF;Q;2007-Q4;4.985.029;
CAN;UNEMP;25_74;PC_LF;Q;2008-Q1;5.035.283;
CAN;UNEMP;25_74;PC_LF;Q;2008-Q2;5.002.551;
CAN;UNEMP;25_74;PC_LF;Q;2008-Q3;5.183.084;
CAN;UNEMP;25_74;PC_LF;Q;2008-Q4;5.433.244;
CAN;UNEMP;25_74;PC_LF;Q;2009-Q1;6.671.604;
CAN;UNEMP;25_74;PC_LF;Q;2009-Q2;7.349.129;
CAN;UNEMP;25_74;PC_LF;Q;2009-Q3;730.353;
CAN;UNEMP;25_74;PC_LF;Q;2009-Q4;7.233.989;
CAN;UNEMP;25_74;PC_LF;Q;2010-Q1;7.017.196;
CAN;UNEMP;25_74;PC_LF;Q;2010-Q2;6.850.304;
CAN;UNEMP;25_74;PC_LF;Q;2010-Q3;6.977.922;
CAN;UNEMP;25_74;PC_LF;Q;2010-Q4;6.629.793;
CAN;UNEMP;25_74;PC_LF;Q;2011-Q1;6.543.501;
CAN;UNEMP;25_74;PC_LF;Q;2011-Q2;6.458.187;
CAN;UNEMP;25_74;PC_LF;Q;2011-Q3;6.146.358;
CAN;UNEMP;25_74;PC_LF;Q;2011-Q4;6.293.309;
CAN;UNEMP;25_74;PC_LF;Q;2012-Q1;6.268.402;
CAN;UNEMP;25_74;PC_LF;Q;2012-Q2;6.077.909;
CAN;UNEMP;25_74;PC_LF;Q;2012-Q3;6.001.873;
CAN;UNEMP;25_74;PC_LF;Q;2012-Q4;6.166.655;
CAN;UNEMP;25_74;PC_LF;Q;2013-Q1;6.023.634;
CAN;UNEMP;25_74;PC_LF;Q;2013-Q2;594.872;
CAN;UNEMP;25_74;PC_LF;Q;2013-Q3;5.991.684;
CAN;UNEMP;25_74;PC_LF;Q;2013-Q4;5.988.566;
CAN;UNEMP;25_74;PC_LF;Q;2014-Q1;595.075;
CAN;UNEMP;25_74;PC_LF;Q;2014-Q2;5.981.693;
CAN;UNEMP;25_74;PC_LF;Q;2014-Q3;5.861.335;
CAN;UNEMP;25_74;PC_LF;Q;2014-Q4;558.694;
CAN;UNEMP;25_74;PC_LF;Q;2015-Q1;5.731.442;
CAN;UNEMP;25_74;PC_LF;Q;2015-Q2;583.622;
CAN;UNEMP;25_74;PC_LF;Q;2015-Q3;5.950.037;
CAN;UNEMP;25_74;PC_LF;Q;2015-Q4;6.122.329;
CAN;UNEMP;25_74;PC_LF;Q;2016-Q1;6.253.115;
CAN;UNEMP;25_74;PC_LF;Q;2016-Q2;6.036.554;
CAN;UNEMP;25_74;PC_LF;Q;2016-Q3;5.967.048;
CAN;UNEMP;25_74;PC_LF;Q;2016-Q4;5.990.726;
CAN;UNEMP;25_74;PC_LF;Q;2017-Q1;5.720.847;
CAN;UNEMP;25_74;PC_LF;Q;2017-Q2;5.659.616;
CAN;UNEMP;25_74;PC_LF;Q;2017-Q3;5.471.272;
CAN;UNEMP;25_74;PC_LF;Q;2017-Q4;5.274.988;
CAN;UNEMP;25_74;PC_LF;Q;2018-Q1;5.067.859;
CAN;UNEMP;25_74;PC_LF;Q;2018-Q2;5.124.027;
CAN;UNEMP;25_74;PC_LF;Q;2018-Q3;5.112.246;
CAN;UNEMP;25_74;PC_LF;Q;2018-Q4;4.973.027;
CAN;UNEMP;25_74;PC_LF;Q;2019-Q1;5.031.985;
CAN;UNEMP;25_74;PC_LF;Q;2019-Q2;4.735.039;
CAN;UNEMP;25_74;PC_LF;Q;2019-Q3;4.740.443;
CAN;UNEMP;25_74;PC_LF;Q;2019-Q4;4.879.221;
CAN;UNEMP;25_74;PC_LF;Q;2020-Q1;5.388.554;
CZE;UNEMP;25_74;PC_LF;Q;2005-Q1;6.833.333;
CZE;UNEMP;25_74;PC_LF;Q;2005-Q2;6.9;
CZE;UNEMP;25_74;PC_LF;Q;2005-Q3;6.766.667;
CZE;UNEMP;25_74;PC_LF;Q;2005-Q4;6.8;
CZE;UNEMP;25_74;PC_LF;Q;2006-Q1;6.6;
CZE;UNEMP;25_74;PC_LF;Q;2006-Q2;6.2;
CZE;UNEMP;25_74;PC_LF;Q;2006-Q3;6.033.333;
CZE;UNEMP;25_74;PC_LF;Q;2006-Q4;5.8;
CZE;UNEMP;25_74;PC_LF;Q;2007-Q1;5.266.667;
CZE;UNEMP;25_74;PC_LF;Q;2007-Q2;4.933.333;
CZE;UNEMP;25_74;PC_LF;Q;2007-Q3;4.666.667;
CZE;UNEMP;25_74;PC_LF;Q;2007-Q4;4.533.333;
CZE;UNEMP;25_74;PC_LF;Q;2008-Q1;4.033.333;
CZE;UNEMP;25_74;PC_LF;Q;2008-Q2;3.866.667;
CZE;UNEMP;25_74;PC_LF;Q;2008-Q3;3.8;
CZE;UNEMP;25_74;PC_LF;Q;2008-Q4;3.966.667;
CZE;UNEMP;25_74;PC_LF;Q;2009-Q1;4.933.333;
CZE;UNEMP;25_74;PC_LF;Q;2009-Q2;5.633.333;
CZE;UNEMP;25_74;PC_LF;Q;2009-Q3;6.366.667;
CZE;UNEMP;25_74;PC_LF;Q;2009-Q4;6.233.333;
CZE;UNEMP;25_74;PC_LF;Q;2010-Q1;6.8;
CZE;UNEMP;25_74;PC_LF;Q;2010-Q2;6.366.667;
CZE;UNEMP;25_74;PC_LF;Q;2010-Q3;6.2;
CZE;UNEMP;25_74;PC_LF;Q;2010-Q4;6.166.667;
CZE;UNEMP;25_74;PC_LF;Q;2011-Q1;6.1;
CZE;UNEMP;25_74;PC_LF;Q;2011-Q2;5.933.333;
CZE;UNEMP;25_74;PC_LF;Q;2011-Q3;5.7;
CZE;UNEMP;25_74;PC_LF;Q;2011-Q4;5.666.667;
CZE;UNEMP;25_74;PC_LF;Q;2012-Q1;5.933.333;
CZE;UNEMP;25_74;PC_LF;Q;2012-Q2;5.833.333;
CZE;UNEMP;25_74;PC_LF;Q;2012-Q3;6.033.333;
CZE;UNEMP;25_74;PC_LF;Q;2012-Q4;6.333.333;
CZE;UNEMP;25_74;PC_LF;Q;2013-Q1;6.3;
CZE;UNEMP;25_74;PC_LF;Q;2013-Q2;6.133.333;
CZE;UNEMP;25_74;PC_LF;Q;2013-Q3;6.033.333;
CZE;UNEMP;25_74;PC_LF;Q;2013-Q4;5.933.333;
CZE;UNEMP;25_74;PC_LF;Q;2014-Q1;5.833.333;
CZE;UNEMP;25_74;PC_LF;Q;2014-Q2;5.433.333;
CZE;UNEMP;25_74;PC_LF;Q;2014-Q3;5.2;
CZE;UNEMP;25_74;PC_LF;Q;2014-Q4;5.2;
CZE;UNEMP;25_74;PC_LF;Q;2015-Q1;5.166.667;
CZE;UNEMP;25_74;PC_LF;Q;2015-Q2;4.533.333;
CZE;UNEMP;25_74;PC_LF;Q;2015-Q3;4.333.333;
CZE;UNEMP;25_74;PC_LF;Q;2015-Q4;4.1;
CZE;UNEMP;25_74;PC_LF;Q;2016-Q1;3.833.333;
CZE;UNEMP;25_74;PC_LF;Q;2016-Q2;3.566.667;
CZE;UNEMP;25_74;PC_LF;Q;2016-Q3;3.5;
CZE;UNEMP;25_74;PC_LF;Q;2016-Q4;3.2;
CZE;UNEMP;25_74;PC_LF;Q;2017-Q1;2.966.667;
CZE;UNEMP;25_74;PC_LF;Q;2017-Q2;2.633.333;
CZE;UNEMP;25_74;PC_LF;Q;2017-Q3;2.4;
CZE;UNEMP;25_74;PC_LF;Q;2017-Q4;2.2;
CZE;UNEMP;25_74;PC_LF;Q;2018-Q1;2.066.667;
CZE;UNEMP;25_74;PC_LF;Q;2018-Q2;1.966.667;
CZE;UNEMP;25_74;PC_LF;Q;2018-Q3;2.033.333;
CZE;UNEMP;25_74;PC_LF;Q;2018-Q4;1.9;
CZE;UNEMP;25_74;PC_LF;Q;2019-Q1;1.733.333;
CZE;UNEMP;25_74;PC_LF;Q;2019-Q2;1.733.333;
CZE;UNEMP;25_74;PC_LF;Q;2019-Q3;1.9;
CZE;UNEMP;25_74;PC_LF;Q;2019-Q4;1.9;
CZE;UNEMP;25_74;PC_LF;Q;2020-Q1;1.666.667;
DNK;UNEMP;25_74;PC_LF;Q;2005-Q1;4.833.333;
DNK;UNEMP;25_74;PC_LF;Q;2005-Q2;4.433.333;
DNK;UNEMP;25_74;PC_LF;Q;2005-Q3;4.1;
DNK;UNEMP;25_74;PC_LF;Q;2005-Q4;3.433.333;
DNK;UNEMP;25_74;PC_LF;Q;2006-Q1;3.366.667;
DNK;UNEMP;25_74;PC_LF;Q;2006-Q2;3.366.667;
DNK;UNEMP;25_74;PC_LF;Q;2006-Q3;3.166.667;
DNK;UNEMP;25_74;PC_LF;Q;2006-Q4;3.033.333;
DNK;UNEMP;25_74;PC_LF;Q;2007-Q1;3.3;
DNK;UNEMP;25_74;PC_LF;Q;2007-Q2;3;
DNK;UNEMP;25_74;PC_LF;Q;2007-Q3;3.266.667;
DNK;UNEMP;25_74;PC_LF;Q;2007-Q4;2.966.667;
DNK;UNEMP;25_74;PC_LF;Q;2008-Q1;2.6;
DNK;UNEMP;25_74;PC_LF;Q;2008-Q2;2.466.667;
DNK;UNEMP;25_74;PC_LF;Q;2008-Q3;2.433.333;
DNK;UNEMP;25_74;PC_LF;Q;2008-Q4;3.1;
DNK;UNEMP;25_74;PC_LF;Q;2009-Q1;4.133.333;
DNK;UNEMP;25_74;PC_LF;Q;2009-Q2;5.166.667;
DNK;UNEMP;25_74;PC_LF;Q;2009-Q3;5.4;
DNK;UNEMP;25_74;PC_LF;Q;2009-Q4;5.933.333;
DNK;UNEMP;25_74;PC_LF;Q;2010-Q1;6.466.667;
DNK;UNEMP;25_74;PC_LF;Q;2010-Q2;6.466.667;
DNK;UNEMP;25_74;PC_LF;Q;2010-Q3;6;
DNK;UNEMP;25_74;PC_LF;Q;2010-Q4;6.533.333;
DNK;UNEMP;25_74;PC_LF;Q;2011-Q1;6.566.667;
DNK;UNEMP;25_74;PC_LF;Q;2011-Q2;5.933.333;
DNK;UNEMP;25_74;PC_LF;Q;2011-Q3;5.766.667;
DNK;UNEMP;25_74;PC_LF;Q;2011-Q4;6.666.667;
DNK;UNEMP;25_74;PC_LF;Q;2012-Q1;6.266.667;
DNK;UNEMP;25_74;PC_LF;Q;2012-Q2;6.766.667;
DNK;UNEMP;25_74;PC_LF;Q;2012-Q3;6.4;
DNK;UNEMP;25_74;PC_LF;Q;2012-Q4;6.166.667;
DNK;UNEMP;25_74;PC_LF;Q;2013-Q1;6.333.333;
DNK;UNEMP;25_74;PC_LF;Q;2013-Q2;6.433.333;
DNK;UNEMP;25_74;PC_LF;Q;2013-Q3;5.866.667;
DNK;UNEMP;25_74;PC_LF;Q;2013-Q4;5.866.667;
DNK;UNEMP;25_74;PC_LF;Q;2014-Q1;5.733.333;
DNK;UNEMP;25_74;PC_LF;Q;2014-Q2;5.566.667;
DNK;UNEMP;25_74;PC_LF;Q;2014-Q3;5.566.667;
DNK;UNEMP;25_74;PC_LF;Q;2014-Q4;5.766.667;
DNK;UNEMP;25_74;PC_LF;Q;2015-Q1;5.533.333;
DNK;UNEMP;25_74;PC_LF;Q;2015-Q2;5.533.333;
DNK;UNEMP;25_74;PC_LF;Q;2015-Q3;4.833.333;
DNK;UNEMP;25_74;PC_LF;Q;2015-Q4;5.133.333;
DNK;UNEMP;25_74;PC_LF;Q;2016-Q1;5.033.333;
DNK;UNEMP;25_74;PC_LF;Q;2016-Q2;5.033.333;
DNK;UNEMP;25_74;PC_LF;Q;2016-Q3;4.733.333;
DNK;UNEMP;25_74;PC_LF;Q;2016-Q4;4.866.667;
DNK;UNEMP;25_74;PC_LF;Q;2017-Q1;5;
DNK;UNEMP;25_74;PC_LF;Q;2017-Q2;4.766.667;
DNK;UNEMP;25_74;PC_LF;Q;2017-Q3;4.5;
DNK;UNEMP;25_74;PC_LF;Q;2017-Q4;4.466.667;
DNK;UNEMP;25_74;PC_LF;Q;2018-Q1;4.266.667;
DNK;UNEMP;25_74;PC_LF;Q;2018-Q2;4.366.667;
DNK;UNEMP;25_74;PC_LF;Q;2018-Q3;3.733.333;
DNK;UNEMP;25_74;PC_LF;Q;2018-Q4;4.5;
DNK;UNEMP;25_74;PC_LF;Q;2019-Q1;4.233.333;
DNK;UNEMP;25_74;PC_LF;Q;2019-Q2;4.3;
DNK;UNEMP;25_74;PC_LF;Q;2019-Q3;3.833.333;
DNK;UNEMP;25_74;PC_LF;Q;2019-Q4;4.333.333;
DNK;UNEMP;25_74;PC_LF;Q;2020-Q1;4.1;
FIN;UNEMP;25_74;PC_LF;Q;2005-Q1;7.033.333;
FIN;UNEMP;25_74;PC_LF;Q;2005-Q2;6.733.333;
FIN;UNEMP;25_74;PC_LF;Q;2005-Q3;6.5;
FIN;UNEMP;25_74;PC_LF;Q;2005-Q4;6.633.333;
FIN;UNEMP;25_74;PC_LF;Q;2006-Q1;6.4;
FIN;UNEMP;25_74;PC_LF;Q;2006-Q2;6.133.333;
FIN;UNEMP;25_74;PC_LF;Q;2006-Q3;6.133.333;
FIN;UNEMP;25_74;PC_LF;Q;2006-Q4;5.933.333;
FIN;UNEMP;25_74;PC_LF;Q;2007-Q1;5.566.667;
FIN;UNEMP;25_74;PC_LF;Q;2007-Q2;5.366.667;
FIN;UNEMP;25_74;PC_LF;Q;2007-Q3;5.6;
FIN;UNEMP;25_74;PC_LF;Q;2007-Q4;5.233.333;
FIN;UNEMP;25_74;PC_LF;Q;2008-Q1;4.966.667;
FIN;UNEMP;25_74;PC_LF;Q;2008-Q2;4.766.667;
FIN;UNEMP;25_74;PC_LF;Q;2008-Q3;4.9;
